,Make
1110,AEROSPATIALE
1111,CESSNA
1112,"THUNDER BALLOONS, LTD."
1113,SMITH AEROSTAR
1114,MOORE BELL
1115,BEECH
1116,BELLANCA
1117,BOEING
1118,CESSNA
1119,BLANIK
1120,CESSNA
1121,PIPER
1122,CESSNA
1123,CESSNA
1124,HELIO
1125,CESSNA
1126,TAYLOR
1127,GRUMMAN
1128,PIPER
1129,LUSCOMBE
1130,CESSNA
1131,CESSNA
1132,CESSNA
1133,CESSNA
1134,BEECH
1135,BELLANCA
1136,PIPER
1137,CESSNA
1138,BELLANCA
1139,PIPER
1140,LAKE
1141,BRANTLEY
1142,CESSNA
1143,BEECH
1144,BELLANCA
1145,DE HAVILLAND
1146,CESSNA
1147,CESSNA
1148,BRYAN
1149,PIPER
1150,BELL 47G-3B
1151,MAULE
1152,CESSNA
1153,PIPER
1154,BEECH
1155,PIPER
1156,GRUMMAN
1157,PIPER
1158,BEECH
1159,PIPER
1160,PIPER
1161,CESSNA
1162,GULFSTREAM AMERICAN
1163,PIPER
1164,GATES LEARJET
1165,PIPER
1166,CESSNA
1167,CESSNA
1168,CESSNA
1169,HILLER
1170,PIPER
1171,CESSNA
1172,CESSNA
1173,GRUMMAN
1174,HUGHES
1175,PIPER
1176,CESSNA
1177,CESSNA
1178,CESSNA
1179,PIPER
1180,GRUMMAN
1181,VOLMER AIRCRAFT
1182,CESSNA
1183,PIPER
1184,PIPER
1185,BEECHCRAFT
1186,CESSNA
1187,BELL
1188,CITABRIA
1189,CESSNA
1190,CESSNA
1191,CESSNA
1192,CESSNA
1193,CESSNA
1194,PIPER
1195,AIR TRACTOR
1196,BELL
1197,MARTIN
1198,BEECH
1199,BEECH
1200,NASH CASSUTT RACER
1201,GRUMMAN
1202,AERO COMMANDER
1203,BELL
1204,CESSNA
1205,PIPER
1206,CESSNA
1207,CESSNA
1208,PLAYMATE
1209,PIPER
1210,CESSNA
1211,BELL
1212,CESSNA
1213,LUSCOMBE
1214,CESSNA
1215,CESSNA
1216,DE HAVILLAND
1217,PIPER
1218,SCHWEIZER
1219,CESSNA
1220,PIPER
1221,CESSNA
1222,NAVION
1223,NORTH AMERICAN
1224,PIPER
1225,GRUMMAN
1226,PIPER
1227,AERONCA
1228,BOEING
1229,CESSNA
1230,ENSTROM
1231,OLDFIELD
